round,proposals,soft_votes,cert_votes,next_votes,pipelined_soft_votes,pipelined_cert_votes,late_soft_votes,late_cert_votes,late_next_votes,round_duration_ms,in_peers,out_peers,bundle_votes
55868888,5,326,150,0,0,0,336,197,0,2624,0,45,136
55868889,7,299,149,0,0,0,354,187,0,2839,0,45,144
55868890,6,318,129,0,0,0,320,197,0,2759,0,45,129
55868891,7,312,149,0,0,0,343,182,0,2717,0,45,144
55868892,5,289,136,0,0,0,322,201,0,2736,0,45,136
55868893,6,305,153,0,0,0,306,188,0,2822,0,45,134
55868894,4,305,156,0,0,0,329,191,0,2793,0,45,156
55868895,7,311,133,0,0,0,316,205,0,2822,0,45,122
55868896,7,301,137,0,0,0,338,187,0,2817,0,45,132
55868897,8,331,155,0,0,0,314,173,0,2764,0,45,144
55868898,5,293,153,0,0,0,345,191,0,2666,0,45,106
55868899,9,302,131,0,0,0,307,190,0,2657,0,45,131
55868900,8,278,117,0,0,0,313,191,0,2861,0,45,110
55868901,11,307,159,0,0,0,315,170,0,2703,0,45,100
55868902,2,323,161,0,0,0,324,204,0,2684,0,45,156
55868903,4,296,144,0,0,0,342,210,0,2765,0,45,132
55868904,4,303,131,0,0,0,325,196,0,2792,0,45,106
55868905,9,278,132,0,0,0,324,175,0,2740,0,45,98
